code,desc,case_size,bulk_code,micro ,carton,category,line,gr_wt,nt_wt,plant,line_bulk,des_code
FB05002500AF,New Adv Odomos M R Cream 25G- African Pk,144,BB051B,1,1,IBD,Odomos line,0.037,25,1025,odomos,BB051B25
FB05005000AF,New Adv Odomos M R Cream 50G- African Pk,96,BB051B,1,1,IBD,Odomos line,0.069,50,1025,,BB051B50
FB22112001EX,Najwa Herbal TPST 120 Gm + Brush Free,72,BB221,1,1,Pvt Label,Toothpaste Line,0.149,120,1024,,BB221120
FB26502000ML,LITNA HERBAL TOOTHPASTE 20 G,432,BB265,1,1,IBD,Toothpaste Line,0.029,20,1024,,BB26520
FM04912000GC,Fem USA HRC -AloeVera 120g+ Bal Lot- New,48,BM049,0,1,IBD,HRC tube,0.182,120,1025,,BM049120
FM05312000GC,Fem USA HRC- Sandal 120gm + Bal Lot -New,48,BM053,0,1,IBD,HRC tube,0.182,120,1025,,BM053120
FM05912000GC,Fem USA HRC- Rose 120gm +Bal Lot- New,48,BM059,0,1,IBD,HRC tube,0.182,120,1025,,BM059120
FM06312000GC,Fem USA HRC-Lemon 120gm+ Bal Lot - New,48,BM063,0,1,IBD,HRC tube,0.182,120,1025,,BM063120
FM06412000GC,Fem USA HRC- Blossom 120gm +Bal Lot -New,48,BM064,0,1,IBD,HRC tube,0.182,120,1025,,BM064120
FB55102400EX,Medichoice Premium Fld TPST 24g-0.85 OZ,720,BB551,1,0,Pvt Label,Toothpaste Line,0.032,24,1024,,BB55124
FC250200,Dabur Red Paste 200gm,36,BC250,1,1,IBD,Toothpaste Line,0.241,200,1024,,BC250200
FC250100,Dabur Red Paste 100gm,72,BC250,1,1,IBD,Toothpaste Line,0.125,100,1024,,BC250100
FB23005000EX,Meswak Toothpaste 50gms - Export,288,BB230,1,1,IBD,Toothpaste Line,0.061,50,1024,,BB23050
FB23020000EX,Meswak Toothpaste 200gm (72 C/S Pack),72,BB230,1,1,IBD,Toothpaste Line,0.23,200,1024,,BB230200
FB050100A0EX,Adv. Odomos Mosquito Replt Cream 100gm,36,BB051B,1,1,IBD,Odomos line,0.124,100,1025,,BB051B100
FB050050A0EX,Adv. Odomos Mosquito Replt Cream 50gm,72,BB051B,1,1,IBD,Odomos line,0.065,50,1025,,BB051B50
FB050025A0EX,Adv. Odomos Mosquito Replt Cream 25gm,144,BB051B,1,1,IBD,Odomos line,0.036,25,1025,,BB051B25
