id,so,so_date,so_del_date,code,qty,closed,act_disp_qty,act_disp_date,rate,currency,customer
,17021103L10,07/02/2018,07/02/2018,FB24312000EX,3560,1,3560,,16,USD,Olman LLC
,17021103L12,07/02/2018,07/02/2018,FB24312000EX,3560,1,3560,,16,USD,Olman LLC
,17021103L8,07/02/2018,07/02/2018,FB24312000EX,3560,1,3560,,16,USD,Olman LLC
,17021103L9,07/02/2018,07/02/2018,FB24312000EX,3560,1,3560,,16,USD,Olman LLC
,4501567934,08/24/2017,11/14/2017,FM05815000EX,0,1,0,,0,USD,Dabur International Ltd
,17020925,02/12/2018,04/12/2018,FB30805600EX,401,1,401,,55.4,USD,NWI
,RDPMay-w1,03/14/2018,05/07/2018,FC250C20N,3000,1,3000,,0,USD,Domestic
,RDPMay-w1,03/07/2018,05/07/2018,FB150C10,1000,1,1000,,,USD,Domestic
,RDPMay-w2,03/07/2018,05/14/2018,FB100C5001,1128,1,1128,,,USD,Domestic
,17020495,01/15/2018,05/15/2018,FR19511300EX,500,1,500,,23,USD,NWI
,17020495,01/15/2018,05/15/2018,FR19522600EX,300,1,300,,26.98,USD,NWI
,17020495,01/15/2018,05/15/2018,FR19536800EX,400,1,400,,31.14,USD,NWI
,17021075,03/29/2018,05/21/2018,FB57304300EX,1918,1,1918,,15.5,USD,Dynarex
,17021075,03/29/2018,05/21/2018,FB57307800EX,375,1,375,,21.25,USD,Dynarex
,4501592652,11/16/2017,05/21/2018,FM47601500GC,356,1,356,,0,USD,Dabur International Ltd
,May-plan,03/15/2018,05/25/2018,FB10105000EX,47,1,47,,,USD,Myanmar
,May-plan,03/15/2018,05/25/2018,FB050025A0EX,0,1,0,,,USD,Myanmar
,May-plan,03/15/2018,05/25/2018,FB050050A0EX,0,1,0,,,USD,Myanmar
,May-plan,03/15/2018,05/25/2018,FB050100A0EX,0,1,0,,,USD,Myanmar
,May-plan,03/15/2018,05/25/2018,FB04012000EX,0,1,0,,,USD,Myanmar
,May-plan,03/15/2018,05/25/2018,FB23005001MN,600,1,600,,,USD,Myanmar
,May-plan,03/15/2018,05/25/2018,FB23010001MN,1552,1,1552,,,USD,Myanmar
,May-plan,03/15/2018,05/25/2018,FM05304000MN,215,1,215,,,USD,Myanmar
,May-plan,03/15/2018,05/25/2018,FM06304000MN,167,1,167,,,USD,Myanmar
,May-plan,03/15/2018,05/25/2018,FM06404000MN,351,1,351,,,USD,Myanmar
,May-plan,03/15/2018,05/25/2018,FM05904000MN,1298,1,1298,,,USD,Myanmar
,May-plan,03/15/2018,05/25/2018,FC25010000MN,312,1,312,,,USD,Myanmar
,May-plan,03/15/2018,05/25/2018,FC25015000MN,218,1,218,,,USD,Myanmar
,May-plan,03/15/2018,05/25/2018,FC25020000MN,888,1,888,,,USD,Myanmar
,May-plan,03/15/2018,05/25/2018,FB23020000EX,394,1,394,,,USD,Myanmar
