so,so_date,so_del_date,qty,closed,act_disp_qty,act_disp_date,rate,currency,customer,fgcode_id
17020495,15-01-2018,15-05-2018,500,1,500,,23,USD,NWI,65
17020495,15-01-2018,15-05-2018,300,1,300,,26.98,USD,NWI,66
17020495,15-01-2018,15-05-2018,400,1,400,,31.14,USD,NWI,64
17020778,03-02-2018,31-05-2018,1375,1,1375,,23,USD,NWI,65
17020778,03-02-2018,31-05-2018,300,1,300,,31.14,USD,NWI,64
17020925,12-02-2018,12-04-2018,401,1,401,,55.4,USD,NWI,256
17020928,19-02-2018,23-07-2018,1098,1,1098,,31.14,USD,NWI,64
17021074,26-03-2018,06-06-2018,2466,1,2466,,8.45,USD,Delta Int Trade,330
17021074,26-03-2018,06-06-2018,1308,1,1308,,4.92,USD,Delta Int Trade,323
17021074,26-03-2018,06-06-2018,1092,1,1092,,8.45,USD,Delta Int Trade,324
17021075,29-03-2018,21-05-2018,1918,1,1918,,15.5,USD,Dynarex,152
17021075,29-03-2018,21-05-2018,375,1,375,,21.25,USD,Dynarex,153
17021078,04-04-2018,12-06-2018,1160,1,1160,,8.45,USD,Delta Int Trade,330
17021078,04-04-2018,12-06-2018,2950,1,2950,,8.45,USD,Delta Int Trade,324
17021081,12-04-2018,07-06-2018,1001,1,1001,,16,USD,Karsten Intl ,504
17021082,12-04-2018,18-06-2018,280,1,280,,24.72,USD,Mattes Trading,468
17021082,12-04-2018,18-06-2018,168,1,168,,25.6,USD,Mattes Trading,461
17021082,12-04-2018,18-06-2018,223,1,223,,13.74,USD,Mattes Trading,479
17021082,12-04-2018,18-06-2018,348,1,348,,13.14,USD,Mattes Trading,478
17021085,24-04-2018,20-06-2018,1865,1,1865,,4.92,USD,Delta Int Trade,329
17021085,24-04-2018,20-06-2018,1706,1,1706,,4.92,USD,Delta Int Trade,323
17021085,24-04-2018,20-06-2018,2210,1,2210,,8.45,USD,Delta Int Trade,324
17021086,27-04-2018,27-06-2018,1080,1,1080,,12.57,USD,NWI,270
17021086,27-04-2018,27-06-2018,560,1,560,,15.53,USD,NWI,271
17021086,27-04-2018,27-06-2018,648,1,648,,12.57,USD,NWI,375
17021086,27-04-2018,27-06-2018,224,1,224,,21.92,USD,NWI,282
17021087,05-05-2018,09-07-2018,480,1,480,,48.64,USD,NWI,269
17021087,05-05-2018,09-07-2018,1296,1,1296,,12.57,USD,NWI,270
17021088,05-05-2018,10-07-2018,200,1,200,,27.22,USD,NWI,336
17021088,05-05-2018,10-07-2018,198,1,198,,65.76,USD,NWI,262
17021088,05-05-2018,10-07-2018,192,1,192,,67.21,USD,NWI,335
17021088,05-05-2018,10-07-2018,648,1,648,,17.51,USD,NWI,263
17021088,05-05-2018,10-07-2018,324,1,324,,27.91,USD,NWI,264
17021094,15-06-2018,12-09-2018,288,1,288,,180,USD,AUROMERE INC.,52
17021094,15-06-2018,12-09-2018,504,1,504,,179,USD,AUROMERE INC.,48
17021095,15-06-2018,13-11-2018,174,1,174,,100.8,USD,AUROMERE INC.,23
17021095,15-06-2018,13-11-2018,265,1,265,,105,USD,AUROMERE INC.,24
17021095,15-06-2018,13-11-2018,72,1,72,,185,USD,AUROMERE INC.,40
17021095,15-06-2018,13-11-2018,112,1,112,,69.12,USD,AUROMERE INC.,50
17021095,15-06-2018,13-11-2018,200,1,200,,179,USD,AUROMERE INC.,49
17021096,15-06-2018,17-12-2018,252,1,252,,179,USD,AUROMERE INC.,48
17021096,15-06-2018,17-12-2018,108,1,108,,190,USD,AUROMERE INC.,46
17021097L1,15-06-2018,06-08-2018,4320,1,4320,,11.16,USD,Ellipse,144
17021097L2,15-06-2018,06-08-2018,4320,1,4320,,11.16,USD,Ellipse,144
17021098L1,15-06-2018,07-08-2018,496,1,496,,34.56,USD,Quantum,477
17021098L2,15-06-2018,07-08-2018,496,1,496,,34.56,USD,Quantum,477
17021101,30-06-2018,21-08-2018,584,1,584,,24.72,USD,Mattes Trading,468
17021101,30-06-2018,21-08-2018,280,1,280,,13.74,USD,Mattes Trading,479
17021102,30-06-2018,21-08-2018,280,1,280,,13.32,USD,Mattes Trading,451
17021103L10,02-07-2018,02-07-2018,3560,1,3560,,16,USD,Olman LLC,448
17021103L12,02-07-2018,02-07-2018,3560,1,3560,,16,USD,Olman LLC,448
17021103L14,02-07-2018,15-01-2019,3560,1,3560,,16,USD,Olman LLC,448
17021103L15,02-07-2018,29-01-2019,2194,1,2194,,16,USD,Olman LLC,448
17021103L1,02-07-2018,07-07-2018,1616,1,1616,,16,USD,Olman LLC,448
17021103L2,02-07-2018,21-07-2018,1780,1,1780,,16,USD,Olman LLC,448
17021103L3,02-07-2018,30-07-2018,3560,1,3560,,16,USD,Olman LLC,448
17021103L4,02-07-2018,07-08-2018,3560,1,3560,,16,USD,Olman LLC,448
17021103L5,02-07-2018,21-08-2018,3560,1,3560,,16,USD,Olman LLC,448
17021103L6,02-07-2018,30-08-2018,3560,1,3560,,16,USD,Olman LLC,448
17021103L7,02-07-2018,07-09-2018,3560,1,3560,,16,USD,Olman LLC,448
17021103L8,02-07-2018,02-07-2018,3560,1,3560,,16,USD,Olman LLC,448
17021103L9,02-07-2018,02-07-2018,3560,1,3560,,16,USD,Olman LLC,448
17021127,21-03-2018,13-06-2018,350,1,350,,67.68,USD,Kerala Nature,349
17021129,26-03-2018,18-06-2018,500,1,500,,10.75,USD,Shield Line LLC,340
17021130,28-03-2018,28-05-2018,350,1,350,,27.22,USD,NWI,336
17021130,28-03-2018,28-05-2018,280,1,280,,61,USD,NWI,260
17021130,28-03-2018,28-05-2018,216,1,216,,64.05,USD,NWI,331
17021130,28-03-2018,28-05-2018,324,1,324,,17.51,USD,NWI,263
17021130,28-03-2018,28-05-2018,255,1,255,,27.91,USD,NWI,264
17021130,28-03-2018,28-05-2018,200,1,200,,28.4,USD,NWI,254
17021130,17-04-2018,28-05-2018,192,1,192,,19.66,USD,NWI,277
17021131,03-04-2018,06-06-2018,210,1,210,,21.11,USD,NWI,272
17021131,03-04-2018,06-06-2018,504,1,504,,12.57,USD,NWI,375
17021131,03-04-2018,06-06-2018,240,1,240,,14.88,USD,NWI,373
17021131,03-04-2018,06-06-2018,1200,1,1200,,8.96,USD,NWI,285
17021131,03-04-2018,06-06-2018,224,1,224,,21.92,USD,NWI,282
17021131,03-04-2018,06-06-2018,180,1,180,,77.18,USD,NWI,339
17021132,05-04-2018,28-05-2018,348,1,348,,26.1,USD,Dtales,481
17021133,13-04-2018,12-06-2018,1296,1,1296,,12.57,USD,NWI,270
